"Genus","BenchOrGenus","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe"
"Onocosmoecus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Limnephiloidea","Limnephilidae","Dicosmoecinae",""
"Ophidonais","Genus","Annelida","Clitellata",NA,"Oligochaeta","","","","Tubificida","Tubificina","","Tubificoidea","Naididae","",""
"Oplonaeschna","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Anisoptera","","","Aeshnidae","",""
"Optioservus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Elmidae","",""
"Orconectes","Genus","Arthropoda","Crustacea",NA,"Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","","Cambaridae","Cambarinae",""
"Ordobrevia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Elmidae","",""
"Oreodytes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Adephaga","","Caraboidea","Dytiscidae","Hydroporinae","Hydroporini"
"Oreogeton","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Empididae","Empidinae",""
"Ormosia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Tipulidae","Limoniinae",""
"Orohermes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Megaloptera","","","","Corydalidae","Chauliodinae",""
"Oroperla","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Perlodidae","Perlodinae","Arcynopterygini"
"Orthotrichia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Spicipalpia","","","Hydroptilidae","Hydroptilinae",""
"Ostrocerca","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Euholognatha","","","Nemouridae","Nemourinae",""
"Oulimnius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Elmidae","",""
"Oxus","Genus","Arthropoda","Chelicerata",NA,"Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","Hydrachnidia","","Oxidae","",""
"Oxyethira","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Spicipalpia","","","Hydroptilidae","Hydroptilinae",""
"Pachydiplax","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Anisoptera","","","Libellulidae","",""
"Pacifastacus","Genus","Arthropoda","Crustacea",NA,"Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","","Astacidae","",""
"Pagastia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Diamesinae","Diamesini"
"Pagastiella","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Palaemonetes","Genus","Arthropoda","Crustacea",NA,"Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Caridea","","Palaemonidae","",""
"Palmacorixa","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Hemipteroidea","Hemiptera","Heteroptera","","","Corixidae","Corixinae","Corixini"
"Paracapnia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Euholognatha","","","Capniidae","Capniinae",""
"Parachaetocladius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Parachironomus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Paracladius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Paracladopelma","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Paracymus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Hydrophiloidea","Hydrophilidae","",""
"Parakiefferiella","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Paralauterborniella","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Paraleuctra","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Euholognatha","","","Leuctridae","Leuctrinae",""
"Paralimnophyes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Paramerina.Zavrelimyia","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Pentaneurini"
"Parametriocnemus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Paraperla","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Chloroperlidae","Paraperlinae",""
"Paraphaenocladius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Parapoynx","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Lepidoptera","","","","Crambidae","Acentropinae","Nymphulini"
"Parapsyche","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Hydropsychoidea","Hydropsychidae","Arctopsychinae",""
"Paratanytarsus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Tanytarsini"
"Paratendipes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Parochlus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Podonominae","Podonomini"
"Parorthocladius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Parthina","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Leptoceroidea","Odontoceridae","Odontocerinae",""
"Pedicia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Tipulidae","Limoniinae",""
"Pedomoecus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Limnephiloidea","Apataniidae","",""
"Pelocoris","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Hemipteroidea","Hemiptera","Heteroptera","","","Naucoridae","Naucorinae",""
"Peltodytes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Adephaga","","Caraboidea","Haliplidae","",""
"Peltoperla","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Peltoperlidae","Peltoperlinae",""
"Pentaneura","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Pentaneurini"
"Pericoma.Telmatoscopus","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Psychodidae","Psychodinae",""
"Perithemis","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Anisoptera","","","Libellulidae","",""
"Perlesta","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Perlidae","Acroneuriinae","Acroneuriini"
"Perlinella","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Perlidae","Acroneuriinae","Acroneuriini"
"Perlinodes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Perlodidae","Perlodinae","Arcynopterygini"
"Petrophila","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Lepidoptera","","","","Crambidae","Acentropinae","Argyactini"
"Phaenopsectra.Tribelos","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Philorus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Blephariceridae","",""
"Phylloicus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Leptoceroidea","Calamoceratidae","",""
"Phylocentropus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Hydropsychoidea","Dipseudopsidae","",""
"Physa","Genus","Mollusca","",NA,"Gastropoda","Pulmonata","","","Basommatophora","","","","Physidae","Physinae",""
"Pilaria","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Tipulidae","Limoniinae",""
"Pisidium","Genus","Mollusca","",NA,"Bivalvia","Lamellibranchia","","Eulamellibranchia","Veneroida","","","Corbiculoidea","Sphaeriidae","Pisidiinae",""
"Placobdella","Genus","Annelida","Clitellata",NA,"Hirudinea","","","","Rhynchobdellida","","","","Glossiphoniidae","",""
"Planorbella.Planorbula","Neither","Mollusca","",NA,"Gastropoda","Pulmonata","","","Basommatophora","","","","Planorbidae","",""
"Plumiperla","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Chloroperlidae","Chloroperlinae",""
"Polycelis","Genus","Platyhelminthes","",NA,"Turbellaria","","","","Tricladida","","","","Planariidae","",""
"Polycentropus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Hydropsychoidea","Polycentropodidae","Polycentropodinae",""
"Polypedilum","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Polyplectropus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Hydropsychoidea","Polycentropodidae","Polycentropodinae",""
"Postelichus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Dryopidae","",""
"Potamyia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Hydropsychoidea","Hydropsychidae","Hydropsychinae",""
"Potthastia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Diamesinae","Diamesini"
"Pristina","Genus","Annelida","Clitellata",NA,"Oligochaeta","","","","Tubificida","Tubificina","","Tubificoidea","Naididae","",""
"Probezzia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Ceratopogonidae","Ceratopogoninae",""
"Procambarus","Genus","Arthropoda","Crustacea",NA,"Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","","Cambaridae","Cambarinae",""
"Procladius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Procladiini"
"Prodiamesa","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Prodiamesinae",""
"Progomphus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Anisoptera","","","Gomphidae","",""
"Promenetus","Genus","Mollusca","",NA,"Gastropoda","Pulmonata","","","Basommatophora","","","","Planorbidae","",""
"Promoresia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Elmidae","",""
"Prostoia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Euholognatha","","","Nemouridae","Nemourinae",""
"Prostoma","Genus","Nemertea","",NA,"Enopla","","","","Hoplonemertea","Monostilifera","","","Tetrastemmatidae","",""
"Protanyderus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Tanyderidae","",""
"Protoplasa","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Tanyderidae","",""
"Protzia","Genus","Arthropoda","Chelicerata",NA,"Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","Hydrachnidia","","Hydryphantidae","",""
"Psectrocladius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Psectrotanypus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Macropelopiini"
"Psephenus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Psephenidae","",""
"Pseudiron","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Ephemeroptera","Setisura","","","Pseudironidae","",""
"Pseudochironomus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Pseudochironomini"
"Pseudodiamesa","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Diamesinae","Diamesini"
"Pseudorthocladius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Pseudosmittia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Pseudosuccinea","Genus","Mollusca","",NA,"Gastropoda","Pulmonata","","","Basommatophora","","","","Lymnaeidae","Lymnaeinae",""
"Psilotreta","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Leptoceroidea","Odontoceridae","Odontocerinae",""
"Psychoda","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Psychodidae","Psychodinae",""
"Psychoglypha","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Limnephiloidea","Limnephilidae","Limnephilinae",""
"Psychomyia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Hydropsychoidea","Psychomyiidae","Psychomyiinae",""
"Pteronarcella","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Pteronarcyidae","Pteronarcyinae","Pteronarcellini"
"Pteronarcys","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Pteronarcyidae","Pteronarcyinae","Pteronarcyini"
"Ptilostomis","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Phryganeoidea","Phryganeidae","Phryganeinae",""
"Ptychoptera","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Ptychopteridae","",""
"Pycnopsyche","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Limnephiloidea","Limnephilidae","Limnephilinae",""
"Quadrula","Genus","Mollusca","",NA,"Bivalvia","Lamellibranchia","","Eulamellibranchia","Paleoheterodonta","","","Unionacea","Unionidae","Ambleminae",""
"Quistadrilus","Genus","Annelida","Clitellata",NA,"Oligochaeta","","","","Tubificida","Tubificina","","Tubificoidea","Tubificidae","",""
"Radix","Genus","Mollusca","",NA,"Gastropoda","Pulmonata","","","Basommatophora","","","","Lymnaeidae","Lymnaeinae",""
"Radotanypus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Macropelopiini"
"Ramellogammarus","Genus","Arthropoda","Crustacea",NA,"Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Anisogammaridae","",""
"Ranatra","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Hemipteroidea","Hemiptera","Heteroptera","","","Nepidae","Ranatrinae",""
"Reomyia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Pentaneurini"
"Rhabdomastix","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Tipulidae","Limoniinae",""
"Rhagovelia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Hemipteroidea","Hemiptera","Heteroptera","","","Veliidae","Rhagoveliinae",""
"Rhantus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Adephaga","","Caraboidea","Dytiscidae","Colymbetinae","Colymbetini"
"Rheocricotopus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Rheopelopia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Pentaneurini"
"Rheosmittia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Rheumatobates","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Hemipteroidea","Hemiptera","Heteroptera","","","Gerridae","Rhagodotarsinae",""
"Rhizelmis","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Elmidae","",""
"Rhyacodrilus","Genus","Annelida","Clitellata",NA,"Oligochaeta","","","","Tubificida","Tubificina","","Tubificoidea","Tubificidae","",""
"Rhyacophila","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Spicipalpia","","","Rhyacophilidae","",""
"Robackia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Roederiodes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Empididae","Clinocerinae",""
"Saetheria","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Sepedon","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Sciomyzidae","",""
"Sergentia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Setodes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Leptoceroidea","Leptoceridae","Leptocerinae",""
"Sialis","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Megaloptera","","","","Sialidae","",""
"Sigara","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Hemipteroidea","Hemiptera","Heteroptera","","","Corixidae","Corixinae","Corixini"
"Simulium","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Simuliidae","",""
"Siphlonurus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Ephemeroptera","Pisciforma","","","Siphlonuridae","",""
"Sisyra","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Neuroptera","","","","Sisyridae","",""
"Skwala","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Perlodidae","Perlodinae","Arcynopterygini"
"Slavina","Genus","Annelida","Clitellata",NA,"Oligochaeta","","","","Tubificida","Tubificina","","Tubificoidea","Naididae","",""
"Smicridea","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Hydropsychoidea","Hydropsychidae","Smicrideinae",""
"Smittia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Soliperla","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Peltoperlidae","Peltoperlinae",""
"Somatochlora","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Anisoptera","","","Corduliidae","",""
"Sperchon.Sperchonopsis","Neither","Arthropoda","Chelicerata",NA,"Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","Hydrachnidia","","Sperchontidae","",""
"Sperchopsis","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Hydrophiloidea","Hydrophilidae","",""
"Sphaerium","Genus","Mollusca","",NA,"Bivalvia","Lamellibranchia","","Eulamellibranchia","Veneroida","","","Corbiculoidea","Sphaeriidae","Sphaeriinae",""
"Sphaeromias","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Ceratopogonidae","Ceratopogoninae",""
"Spirosperma","Genus","Annelida","Clitellata",NA,"Oligochaeta","","","","Tubificida","Tubificina","","Tubificoidea","Tubificidae","",""
"Stactobiella","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Spicipalpia","","","Hydroptilidae","Hydroptilinae",""
"Stempellinella.Zavrelia","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Tanytarsini"
"Stenelmis","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Elmidae","",""
"Stenochironomus.Xestochironomus","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Stenocolus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Eulichadidae","",""
"Stenus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Staphylinoidea","Staphylinidae","Steninae",""
"Stictochironomus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Stilocladius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Stratiomys","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Stratiomyidae","Stratiomyinae",""
"Stygobromus","Genus","Arthropoda","Crustacea",NA,"Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Crangonyctidae","",""
"Stygothrombium","Genus","Arthropoda","Chelicerata",NA,"Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","Hydrachnidia","","Stygothrombidiidae","",""
"Stylaria","Genus","Annelida","Clitellata",NA,"Oligochaeta","","","","Tubificida","Tubificina","","Tubificoidea","Naididae","",""
"Stylogomphus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Anisoptera","","","Gomphidae","",""
"Stylurus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Anisoptera","","","Gomphidae","",""
"Suphisellus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Adephaga","","Caraboidea","Noteridae","",""
"Suwallia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Chloroperlidae","Chloroperlinae",""
"Sweltsa","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Chloroperlidae","Chloroperlinae",""
"Symbiocladius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Sympotthastia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Diamesinae","Diamesini"
"Syndiamesa","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Diamesinae","Diamesini"
"Synendotendipes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Synorthocladius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Synurella","Genus","Arthropoda","Crustacea",NA,"Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Crangonyctidae","",""
