"Genus","BenchOrGenus","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe"
"Cercobrachys","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Ephemeroptera","Furcatergalia","Pannota","Caenoidea","Caenidae","",""
"Cernotina","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Hydropsychoidea","Polycentropodidae","Polycentropodinae",""
"Chaetocladius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Chaetogaster","Genus","Annelida","Clitellata",NA,"Oligochaeta","","","","Tubificida","Tubificina","","Tubificoidea","Naididae","",""
"Chaoborus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chaoboridae","",""
"Chauliodes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Megaloptera","","","","Corydalidae","Chauliodinae",""
"Chelifera.Metachela","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Empididae","Hemerodromiinae",""
"Chernovskiia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Cheumatopsyche","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Hydropsychoidea","Hydropsychidae","Hydropsychinae",""
"Chimarra","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Philopotamoidea","Philopotamidae","Chimarrinae",""
"Chironomus.Einfeldia.Glyptotendipes","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Chlorotabanus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Tabanidae","",""
"Chrysops.Silvius","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Tabanidae","",""
"Claassenia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Perlidae","Perlinae","Perlini"
"Cladopelma","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Cladotanytarsus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Tanytarsini"
"Clathrosperchon","Genus","Arthropoda","Chelicerata",NA,"Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","Hydrachnidia","","Hydryphantidae","",""
"Cleptelmis","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Elmidae","",""
"Climacia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Neuroptera","","","","Sisyridae","",""
"Clinocera.Trichoclinocera","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Empididae","Clinocerinae",""
"Clinotanypus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Coelotanypodini"
"Cloeodes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Ephemeroptera","Pisciforma","","","Baetidae","",""
